2020/04/12;04:58:12pm;::1;zeineb;connexion 
2020/04/12;04:59:46pm;::1;zeineb;Verification de l'equipement ;10.0.0.1 ;down
2020/04/12;04:59:54pm;::1;zeineb;deconnecte(e) 
2020/04/15;07:26:45pm;::1;Zeineb;connexion 
2020/04/15;07:26:54pm;::1;Zeineb;deconnecte(e) 
2020/04/15;10:20:39pm;::1;Mohamed;connexion 
2020/04/15;10:21:31pm;::1;Mohamed;deconnecte(e) 
2020/04/16;11:47:04pm;::1;Mohamed;connexion 
2020/04/16;11:47:40pm;::1;Mohamed;deconnecte(e) 
2020/04/21;10:57:18pm;::1;Mohamed;connexion 
2020/04/21;10:57:50pm;::1;Mohamed;deconnecte(e) 
2020/04/21;11:08:52pm;::1;Mohamed;connexion 
2020/04/21;11:23:13pm;::1;Mohamed;deconnecte(e) 
2020/04/26;03:35:18pm;::1;Mohamed;connexion 
2020/04/26;03:36:35pm;::1;Mohamed;deconnecte(e) 
2020/05/29;02:29:42pm;::1;zeineb;connexion 
2020/05/29;02:30:07pm;::1;zeineb;deconnecte(e) 
2020/05/30;12:36:36pm;::1;Zeineb;connexion 
2020/05/30;12:36:51pm;::1;Zeineb;deconnecte(e) 
2020/06/09;10:35:27pm;::1;zeineb;connexion 
2020/06/09;10:35:40pm;::1;zeineb;deconnecte(e) 
